지하철역명,환승역,mart,store,kindergarten,school,academy,parking,gas_station,subway,bank,culture,agency,public,attraction,accommodation,restaurant,cafe,hospital,pharmacy,랜드마크,통계적_지역특성,04시_승차,05시_승차,06시_승차,07시_승차,08시_승차,09시_승차,10시_승차,11시_승차,12시_승차,13시_승차,14시_승차,15시_승차,16시_승차,17시_승차,18시_승차,19시_승차,20시_승차,21시_승차,22시_승차,23시_승차,00시_승차,01시_승차,02시_승차,03시_승차,04시_하차,05시_하차,06시_하차,07시_하차,08시_하차,09시_하차,10시_하차,11시_하차,12시_하차,13시_하차,14시_하차,15시_하차,16시_하차,17시_하차,18시_하차,19시_하차,20시_하차,21시_하차,22시_하차,23시_하차,00시_하차,01시_하차,02시_하차,03시_하차,SBWY_ROUT_LN_NM
가락시장,3호선,3,20,6,2,28,31,1,2,33,3,52,1,0,4,369,64,62,20,,주거/가정,56.583333333333336,2935.25,7564.5,21529.333333333332,22877.5,16922.166666666668,14998.0,14184.0,14410.333333333334,14325.166666666666,14366.5,15562.333333333334,16658.833333333332,20642.666666666668,26703.166666666668,12166.833333333334,9751.5,8685.75,6123.916666666667,2475.5,420.25,2.3333333333333335,0.0,0.0,13.916666666666666,773.4166666666666,5776.666666666667,11368.5,25988.916666666668,13977.166666666666,10525.75,11459.333333333334,12330.583333333334,12848.666666666666,13388.25,15470.666666666666,16939.416666666668,21115.416666666668,26812.583333333332,18780.833333333332,12341.666666666666,10637.833333333334,9970.833333333334,5255.166666666667,1735.8333333333333,47.833333333333336,0.0,0.0,3호선
강남,2호선,1,54,3,1,317,162,0,2,66,13,179,1,4,15,884,230,445,52,,교육/학원가,150.0,7965.5,17735.166666666668,40433.583333333336,62174.75,53627.833333333336,55816.083333333336,73094.0,89986.5,105651.25,117965.0,142838.41666666666,169747.66666666666,254911.33333333334,318109.5,214535.08333333334,165946.16666666666,181748.41666666666,158484.83333333334,72829.16666666667,12140.5,10.0,0.16666666666666666,0.0,9.25,11333.166666666666,55236.833333333336,153165.5,311505.4166666667,323742.25,157129.0,106305.75,103692.66666666667,119080.33333333333,107643.16666666667,101987.0,111263.08333333333,143572.91666666666,179633.91666666666,105611.41666666667,61058.083333333336,50948.166666666664,41955.916666666664,23048.666666666668,6381.416666666667,73.41666666666667,1.0833333333333333,0.0,2호선
강변(동서울터미널),2호선,1,18,6,1,40,29,0,1,18,3,43,1,0,1,147,42,28,9,동서울터미널,주거/생활권 (일반),32.833333333333336,8712.5,21967.75,64672.833333333336,98705.83333333333,74006.33333333333,59985.5,52181.083333333336,48068.75,45480.833333333336,42532.083333333336,45271.833333333336,48757.166666666664,53529.083333333336,55660.0,37821.166666666664,30085.5,24634.166666666668,15948.416666666666,5909.916666666667,805.6666666666666,1.1666666666666667,0.0,0.0,1.1666666666666667,1723.5,20799.083333333332,22162.083333333332,39895.583333333336,34240.083333333336,32941.5,32559.833333333332,36364.416666666664,40516.083333333336,44146.333333333336,52573.916666666664,56506.416666666664,69528.75,91451.75,63499.583333333336,45351.75,37072.916666666664,32371.916666666668,17221.333333333332,4460.666666666667,55.583333333333336,0.08333333333333333,0.0,2호선
건대입구,2호선,2,40,3,0,38,38,0,2,30,10,73,0,5,9,769,188,70,24,,대학가,313.6666666666667,14895.166666666666,21960.416666666668,53469.833333333336,90843.66666666667,64281.75,42246.583333333336,40236.75,47054.75,51160.083333333336,53721.416666666664,59280.5,68661.91666666667,79393.66666666667,88076.0,67807.16666666667,69778.58333333333,74285.25,72836.33333333333,43423.0,7096.666666666667,13.916666666666666,0.08333333333333333,0.0,8.916666666666666,1752.25,14673.5,23683.75,58545.916666666664,48868.583333333336,46017.083333333336,48495.0,54828.0,60335.333333333336,60936.416666666664,67092.83333333333,79774.91666666667,106355.16666666667,149920.58333333334,104197.08333333333,67427.58333333333,62833.916666666664,55463.166666666664,32740.5,11541.5,1008.0,1.25,0.0,2호선
경복궁(정부서울청사),3호선,1,19,5,0,33,41,0,1,39,44,50,6,5,41,575,186,41,8,정부서울청사,여행/관광,28.25,2372.8333333333335,6279.333333333333,13612.416666666666,21055.416666666668,20708.833333333332,20548.0,29102.083333333332,36792.416666666664,45296.833333333336,55669.583333333336,67810.91666666667,81421.08333333333,102311.08333333333,121266.16666666667,52514.833333333336,45830.166666666664,41671.25,26041.833333333332,9218.916666666666,1121.4166666666667,3.8333333333333335,0.0,0.0,7.75,1798.75,15143.25,41758.833333333336,134749.66666666666,92228.33333333333,65626.41666666667,63176.25,58301.583333333336,58692.916666666664,50948.166666666664,45911.25,43115.75,40978.166666666664,40661.666666666664,25434.0,14006.25,11584.25,10102.0,5595.416666666667,1566.5833333333333,38.75,0.0,0.0,3호선
경찰병원,3호선,1,25,8,2,75,23,2,1,26,2,63,3,0,2,355,86,44,13,,주거/가정,8.166666666666666,3061.25,8253.583333333334,23464.75,26260.166666666668,15877.0,12203.083333333334,11132.583333333334,10350.916666666666,10345.25,10790.5,11089.416666666666,10967.5,16049.666666666666,18933.583333333332,7457.083333333333,5903.333333333333,4914.25,3280.6666666666665,1018.25,148.5,0.16666666666666666,0.0,0.0,0.6666666666666666,278.25,3351.6666666666665,9918.083333333334,26669.083333333332,15254.666666666666,9064.166666666666,7290.083333333333,8590.166666666666,9924.333333333334,9079.666666666666,9792.416666666666,10747.916666666666,16209.416666666666,22613.916666666668,17321.25,10723.833333333334,9402.333333333334,8653.833333333334,5123.333333333333,1459.5,2.25,1.1666666666666667,0.0,3호선
고속터미널,3호선,2,23,2,1,202,40,2,3,60,5,122,1,0,2,371,87,81,23,,교육/학원가,153.75,5580.416666666667,7916.083333333333,25743.75,46661.166666666664,54922.083333333336,59700.583333333336,73122.0,87547.75,96683.16666666667,111574.91666666667,128348.66666666667,138539.66666666666,150332.0,142690.08333333334,121462.41666666667,134051.08333333334,83185.91666666667,51433.5,17721.75,1856.5,1.3333333333333333,0.0,0.0,3.0833333333333335,4031.9166666666665,34890.5,49672.0,76914.41666666667,99977.08333333333,103968.16666666667,111663.83333333333,105019.41666666667,104538.83333333333,109277.5,113842.5,112478.0,118615.66666666667,121714.08333333333,76699.91666666667,49899.583333333336,38579.333333333336,27220.75,13073.25,2340.1666666666665,7.916666666666667,0.0,0.0,3호선
교대(법원.검찰청),"2호선, 3호선",3,30,1,2,120,73,0,2,48,10,114,5,0,4,614,135,120,26,법원.검찰청,대학가,44.166666666666664,2302.625,7821.708333333333,17762.416666666668,25861.291666666668,21540.375,21161.458333333332,25832.041666666668,28591.708333333332,34821.041666666664,40645.083333333336,43618.583333333336,47485.541666666664,74969.25,100674.54166666667,47978.291666666664,41626.5,39998.666666666664,29731.125,12028.125,2157.2916666666665,1.2083333333333333,0.041666666666666664,0.0,1.5416666666666667,3614.625,17077.375,36973.416666666664,101818.125,83085.75,43801.5,36202.666666666664,33534.958333333336,35714.416666666664,31254.125,29452.375,31065.166666666668,41159.083333333336,45556.291666666664,26183.791666666668,16434.625,14534.166666666666,13591.583333333334,7299.208333333333,2167.3333333333335,14.75,0.125,0.0,2호선
구로디지털단지,2호선,1,34,3,1,41,45,1,1,40,3,84,2,3,18,545,90,57,13,,여행/관광,383.25,38133.75,52514.666666666664,137038.75,181477.08333333334,113638.75,70706.66666666667,64003.25,71327.91666666667,69595.16666666667,63927.416666666664,70871.33333333333,86086.66666666667,136763.41666666666,197866.08333333334,98265.08333333333,62620.833333333336,51504.166666666664,39846.75,18560.166666666668,3410.8333333333335,4.916666666666667,0.16666666666666666,0.0,14.666666666666666,4800.916666666667,19843.333333333332,80974.75,217359.5,136512.75,58161.083333333336,46626.583333333336,52077.416666666664,65003.25,62365.5,68963.58333333333,83190.91666666667,111673.58333333333,161172.41666666666,127093.91666666667,86396.5,85733.75,81568.5,47898.666666666664,13928.416666666666,265.8333333333333,1.0833333333333333,0.0,2호선
구의(광진구청),2호선,3,29,3,0,44,31,1,1,16,4,89,2,1,7,406,68,70,17,광진구청,주거/가정,76.25,13301.5,27202.0,72372.08333333333,117604.58333333333,73633.91666666667,41946.5,34368.75,36240.833333333336,36160.75,34170.333333333336,35844.75,42647.916666666664,44172.833333333336,48638.75,28213.416666666668,21959.416666666668,20273.916666666668,17016.916666666668,8653.083333333334,1409.1666666666667,4.583333333333333,0.0,0.0,5.083333333333333,1385.0833333333333,19674.416666666668,18159.333333333332,42549.583333333336,24781.666666666668,23335.333333333332,24016.5,27151.666666666668,30632.333333333332,32433.583333333332,40136.333333333336,47031.083333333336,64643.166666666664,101258.25,72166.75,49671.583333333336,46625.0,42513.75,23724.833333333332,7448.833333333333,110.33333333333333,0.0,0.0,2호선
