역명,행선지,실시간_상태,현재시간_예상하차인원(명),플랫폼_위험도
홍대입구,서울행 - 공덕방면 (급행),[10]번째 전역 (인천공항1터미널),5852,🚨 혼잡 위험
홍대입구,문산행 - 가좌방면,[8]번째 전역 (옥수),5852,🚨 혼잡 위험
홍대입구,팔당행 - 서강대방면,홍대입구 진입,5852,🚨 혼잡 위험
홍대입구,서울행 - 공덕방면,홍대입구 출발,5852,🚨 혼잡 위험
홍대입구,문산행 - 가좌방면,[7]번째 전역 (한남),5852,🚨 혼잡 위험
홍대입구,성수행 - 합정방면,5분 30초 후,5852,✅ 정상
홍대입구,인천공항2터미널행 - 디지털미디어시티방면,[2]번째 전역 (서울),5852,🚨 혼잡 위험
홍대입구,성수행 - 합정방면,전역 도착,5852,✅ 정상
홍대입구,성수행 - 신촌방면,전역 도착,5852,✅ 정상
홍대입구,검암행 - 디지털미디어시티방면,홍대입구 출발,5852,🚨 혼잡 위험
홍대입구,서울행 - 공덕방면,[2]번째 전역 (마곡나루),5852,🚨 혼잡 위험
홍대입구,팔당행 - 서강대방면,[6]번째 전역 (한국항공대),5852,🚨 혼잡 위험
홍대입구,서울행 - 공덕방면 (급행),[2]번째 전역 (마곡나루),5852,🚨 혼잡 위험
홍대입구,성수행 - 신촌방면,전역 도착,5852,✅ 정상
홍대입구,서울행 - 공덕방면,전역 출발,5852,🚨 혼잡 위험
홍대입구,문산행 - 가좌방면,[10]번째 전역 (왕십리),5852,🚨 혼잡 위험
홍대입구,성수행 - 합정방면,4분 후,5852,✅ 정상
홍대입구,문산행 - 가좌방면,[4]번째 전역 (용산),5852,🚨 혼잡 위험
홍대입구,인천공항2터미널행 - 디지털미디어시티방면,[2]번째 전역 (서울),5852,🚨 혼잡 위험
홍대입구,성수행 - 합정방면,2분 50초 후,5852,✅ 정상
홍대입구,서울행 - 공덕방면 (급행),[6]번째 전역 (청라국제도시),5852,🚨 혼잡 위험
홍대입구,성수행 - 신촌방면,전역 도착,5852,✅ 정상
홍대입구,서울행 - 공덕방면,전역 출발,5852,🚨 혼잡 위험
홍대입구,성수행 - 합정방면,홍대입구 도착,5852,🚨 혼잡 위험
홍대입구,성수행 - 합정방면,4분 후,5852,✅ 정상
홍대입구,인천공항2터미널행 - 디지털미디어시티방면,전역 도착,5852,🚨 혼잡 위험
홍대입구,문산행 - 가좌방면,[2]번째 전역 (공덕),5852,🚨 혼잡 위험
홍대입구,인천공항2터미널행 - 디지털미디어시티방면 (급행),홍대입구 출발,5852,🚨 혼잡 위험
홍대입구,인천공항2터미널행 - 디지털미디어시티방면,홍대입구 출발,5852,🚨 혼잡 위험
홍대입구,문산행 - 가좌방면,전역 도착,5852,🚨 혼잡 위험
홍대입구,인천공항2터미널행 - 디지털미디어시티방면,홍대입구 출발,5500,🚨 혼잡 위험
홍대입구,서울행 - 공덕방면 (급행),[4]번째 전역 (계양),5500,🚨 혼잡 위험
홍대입구,인천공항2터미널행 - 디지털미디어시티방면 (급행),홍대입구 출발,5500,🚨 혼잡 위험
홍대입구,서울행 - 공덕방면 (급행),[7]번째 전역 (영종),5500,🚨 혼잡 위험
