USE_MM,SBWY_ROUT_LN_NM,STTN,HR_4_GET_ON_NOPE,HR_4_GET_OFF_NOPE,HR_5_GET_ON_NOPE,HR_5_GET_OFF_NOPE,HR_6_GET_ON_NOPE,HR_6_GET_OFF_NOPE,HR_7_GET_ON_NOPE,HR_7_GET_OFF_NOPE,HR_8_GET_ON_NOPE,HR_8_GET_OFF_NOPE,HR_9_GET_ON_NOPE,HR_9_GET_OFF_NOPE,HR_10_GET_ON_NOPE,HR_10_GET_OFF_NOPE,HR_11_GET_ON_NOPE,HR_11_GET_OFF_NOPE,HR_12_GET_ON_NOPE,HR_12_GET_OFF_NOPE,HR_13_GET_ON_NOPE,HR_13_GET_OFF_NOPE,HR_14_GET_ON_NOPE,HR_14_GET_OFF_NOPE,HR_15_GET_ON_NOPE,HR_15_GET_OFF_NOPE,HR_16_GET_ON_NOPE,HR_16_GET_OFF_NOPE,HR_17_GET_ON_NOPE,HR_17_GET_OFF_NOPE,HR_18_GET_ON_NOPE,HR_18_GET_OFF_NOPE,HR_19_GET_ON_NOPE,HR_19_GET_OFF_NOPE,HR_20_GET_ON_NOPE,HR_20_GET_OFF_NOPE,HR_21_GET_ON_NOPE,HR_21_GET_OFF_NOPE,HR_22_GET_ON_NOPE,HR_22_GET_OFF_NOPE,HR_23_GET_ON_NOPE,HR_23_GET_OFF_NOPE,HR_0_GET_ON_NOPE,HR_0_GET_OFF_NOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_NOPE,HR_2_GET_OFF_NOPE,HR_3_GET_ON_NOPE,HR_3_GET_OFF_NOPE,JOB_YMD
202506,1호선,서울역,730.0,49.0,10751.0,10048.0,29185.0,60086.0,90184.0,123995.0,143724.0,234753.0,112732.0,163546.0,98328.0,99749.0,111536.0,95531.0,124637.0,104979.0,116558.0,103202.0,102665.0,96408.0,131219.0,108870.0,145385.0,118187.0,212902.0,139954.0,237451.0,163001.0,136168.0,110572.0,100704.0,82475.0,105192.0,77520.0,69756.0,56423.0,39255.0,29968.0,4636.0,7575.0,5.0,178.0,0.0,0.0,0.0,0.0,20250703
202506,1호선,시청,96.0,0.0,1803.0,5796.0,3972.0,26490.0,7355.0,74815.0,9980.0,193956.0,12772.0,86440.0,14779.0,46870.0,20100.0,44382.0,24020.0,39782.0,31341.0,38223.0,38912.0,31253.0,49166.0,26098.0,61391.0,25991.0,92565.0,26960.0,150960.0,25143.0,59642.0,15048.0,54581.0,10069.0,51883.0,8300.0,31264.0,5799.0,10279.0,3737.0,538.0,983.0,0.0,12.0,0.0,0.0,0.0,0.0,20250703
202506,1호선,종각,134.0,6.0,3971.0,5953.0,4185.0,38295.0,6514.0,113759.0,10169.0,250469.0,12827.0,133513.0,18401.0,58743.0,27708.0,58687.0,33287.0,51902.0,42704.0,50364.0,53209.0,42213.0,66853.0,37604.0,84191.0,40534.0,150038.0,45268.0,202433.0,45383.0,90380.0,22632.0,81480.0,12841.0,81761.0,9425.0,57655.0,7068.0,24537.0,4305.0,1784.0,1206.0,0.0,4.0,0.0,0.0,0.0,0.0,20250703
202506,1호선,종로3가,194.0,6.0,4041.0,3283.0,4427.0,13971.0,6348.0,27656.0,10305.0,63774.0,14708.0,60722.0,21364.0,54677.0,31417.0,65554.0,43635.0,63211.0,47441.0,57222.0,56502.0,49602.0,64623.0,43979.0,71173.0,42120.0,83400.0,40572.0,88106.0,37889.0,55006.0,20028.0,48808.0,12705.0,51827.0,9975.0,38852.0,7778.0,17354.0,5260.0,1691.0,2155.0,0.0,45.0,0.0,0.0,0.0,0.0,20250703
202506,1호선,종로5가,53.0,2.0,2119.0,4035.0,3220.0,16855.0,6013.0,40913.0,10352.0,83557.0,15387.0,60916.0,25445.0,57864.0,36091.0,61294.0,43974.0,55674.0,52677.0,51310.0,60610.0,46619.0,62160.0,40417.0,66808.0,38120.0,83762.0,34211.0,83154.0,29628.0,44015.0,17010.0,33123.0,10209.0,29726.0,7391.0,18180.0,5625.0,5180.0,3577.0,341.0,931.0,0.0,0.0,0.0,0.0,0.0,0.0,20250703
202506,1호선,동대문,575.0,17.0,11259.0,1969.0,9299.0,7110.0,15607.0,12323.0,21635.0,19678.0,21319.0,22064.0,19129.0,25026.0,20255.0,28225.0,23988.0,26928.0,26118.0,25575.0,28197.0,24262.0,28180.0,23442.0,28497.0,22956.0,26927.0,22782.0,23966.0,22330.0,18091.0,21598.0,16795.0,16227.0,15038.0,14989.0,11277.0,14858.0,5887.0,9784.0,820.0,2982.0,0.0,236.0,0.0,0.0,0.0,0.0,20250703
202506,1호선,신설동,436.0,21.0,9189.0,2288.0,10160.0,8978.0,21468.0,25241.0,31531.0,50905.0,22073.0,31406.0,20427.0,20968.0,21678.0,19142.0,23384.0,18816.0,24290.0,20245.0,23345.0,19518.0,24989.0,21037.0,30139.0,22681.0,40517.0,25232.0,49419.0,30099.0,20152.0,22145.0,14346.0,16424.0,12852.0,16278.0,8431.0,14393.0,3652.0,9485.0,371.0,2857.0,0.0,0.0,0.0,0.0,0.0,0.0,20250703
202506,1호선,제기동,332.0,2.0,5240.0,2403.0,9257.0,11022.0,21162.0,21206.0,30622.0,37345.0,23261.0,32987.0,26093.0,37180.0,32167.0,43797.0,36058.0,45130.0,37961.0,43892.0,41874.0,42220.0,44278.0,34086.0,44683.0,33127.0,42428.0,28171.0,37176.0,26328.0,20578.0,17457.0,13932.0,11891.0,8955.0,11290.0,5591.0,9309.0,2153.0,6041.0,187.0,1335.0,0.0,0.0,0.0,0.0,0.0,0.0,20250703
202506,1호선,청량리(서울시립대입구),1193.0,19.0,10610.0,2964.0,18162.0,11266.0,47518.0,17751.0,55262.0,38402.0,36971.0,39070.0,34868.0,42257.0,40287.0,47646.0,45333.0,47124.0,47616.0,48313.0,49254.0,48985.0,51849.0,47728.0,54091.0,49128.0,52080.0,51595.0,44582.0,57705.0,26923.0,37330.0,21170.0,23781.0,16214.0,22900.0,10430.0,19480.0,4108.0,11824.0,334.0,3604.0,0.0,0.0,0.0,0.0,0.0,0.0,20250703
202506,1호선,동묘앞,181.0,3.0,2690.0,925.0,3817.0,5502.0,8686.0,11267.0,13321.0,22446.0,12449.0,19629.0,14634.0,25320.0,20146.0,32284.0,26928.0,32663.0,33321.0,35208.0,33986.0,29758.0,33934.0,26263.0,34080.0,20690.0,30848.0,15644.0,22978.0,13310.0,12237.0,9607.0,6908.0,6486.0,5407.0,6857.0,3695.0,6654.0,1372.0,4739.0,115.0,1872.0,1.0,261.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,시청,16.0,0.0,1058.0,2240.0,2302.0,21182.0,5117.0,73820.0,8734.0,210468.0,13578.0,84324.0,18962.0,31324.0,24488.0,28727.0,25332.0,28858.0,31306.0,28930.0,37376.0,24594.0,44367.0,21278.0,55383.0,19920.0,102589.0,23627.0,160539.0,23427.0,58132.0,14312.0,46844.0,9560.0,43717.0,8899.0,26401.0,7226.0,9425.0,4221.0,1145.0,1297.0,2.0,39.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,을지로입구,63.0,1.0,2626.0,3115.0,4634.0,33025.0,10774.0,122853.0,17201.0,312781.0,26736.0,157682.0,33797.0,88838.0,43812.0,76491.0,49275.0,68226.0,61829.0,72201.0,70291.0,65262.0,84765.0,63763.0,102279.0,66599.0,171888.0,74297.0,260898.0,73626.0,128511.0,48454.0,124997.0,36200.0,89254.0,29566.0,72872.0,21853.0,31075.0,11876.0,3815.0,5086.0,12.0,1005.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,을지로3가,25.0,0.0,1151.0,2055.0,2969.0,23514.0,6696.0,71559.0,13637.0,160509.0,18901.0,64399.0,24336.0,33256.0,26945.0,29292.0,28008.0,28790.0,30292.0,31265.0,35043.0,27542.0,38355.0,28347.0,49280.0,33465.0,91143.0,39028.0,130836.0,44254.0,53527.0,28305.0,43439.0,19147.0,46432.0,17418.0,39369.0,14962.0,21836.0,9154.0,3661.0,2081.0,0.0,60.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,을지로4가,6.0,0.0,1317.0,1109.0,2311.0,14427.0,6012.0,34205.0,12199.0,71626.0,14489.0,37043.0,18455.0,24816.0,20943.0,24854.0,21419.0,22800.0,23181.0,22688.0,25753.0,20619.0,29026.0,19711.0,34727.0,19291.0,59290.0,20304.0,63590.0,20273.0,28245.0,14223.0,18907.0,11271.0,15891.0,11158.0,11227.0,10484.0,5549.0,6754.0,981.0,1502.0,0.0,22.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,동대문역사문화공원(DDP),277.0,6.0,5008.0,1158.0,3853.0,9283.0,6871.0,22195.0,12988.0,46329.0,16287.0,33535.0,18241.0,33858.0,21000.0,33915.0,24624.0,33556.0,26825.0,33848.0,29962.0,34529.0,37126.0,32957.0,42479.0,31446.0,48282.0,33401.0,47419.0,36182.0,31470.0,33667.0,27225.0,25766.0,26266.0,21809.0,18714.0,18447.0,10236.0,11190.0,1955.0,3251.0,1.0,106.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,신당,46.0,5.0,5849.0,1094.0,11185.0,7301.0,30033.0,15404.0,49307.0,28784.0,28770.0,21073.0,20598.0,18654.0,20591.0,20597.0,23070.0,21647.0,23603.0,22341.0,23395.0,23015.0,24493.0,25951.0,27037.0,30882.0,29213.0,40442.0,32616.0,54877.0,22196.0,36403.0,18740.0,24124.0,16962.0,21912.0,15232.0,19682.0,7799.0,11724.0,1417.0,3509.0,2.0,11.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,상왕십리,12.0,0.0,5864.0,834.0,14640.0,6401.0,39953.0,11911.0,62458.0,28624.0,35962.0,18174.0,23029.0,14485.0,20603.0,13710.0,21846.0,14878.0,21120.0,17333.0,19445.0,18176.0,20176.0,22198.0,22033.0,28038.0,24428.0,35526.0,25740.0,53006.0,17692.0,35069.0,12638.0,24715.0,10852.0,23274.0,7315.0,21430.0,2888.0,12528.0,465.0,3935.0,0.0,11.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,왕십리(성동구청),575.0,1.0,6201.0,919.0,9615.0,8212.0,25135.0,13745.0,42503.0,26446.0,27469.0,20455.0,19931.0,15958.0,19580.0,17644.0,23790.0,19503.0,24019.0,20898.0,23735.0,21378.0,27243.0,22777.0,32452.0,27273.0,34484.0,36479.0,34043.0,52935.0,23435.0,33097.0,22428.0,23273.0,24428.0,20495.0,23944.0,19545.0,13863.0,13292.0,2404.0,4541.0,2.0,16.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,한양대,5.0,0.0,1267.0,735.0,2781.0,6895.0,5716.0,13364.0,8750.0,55161.0,6815.0,49277.0,8564.0,38362.0,14295.0,17921.0,17267.0,33316.0,20203.0,25316.0,23325.0,19528.0,27042.0,14224.0,33319.0,12164.0,42834.0,14430.0,36806.0,17446.0,19267.0,9560.0,16103.0,7178.0,16680.0,6524.0,12553.0,6339.0,7867.0,4294.0,1704.0,1336.0,0.0,4.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,뚝섬,11.0,0.0,3594.0,2289.0,9101.0,16380.0,19156.0,40907.0,24942.0,134413.0,18880.0,94025.0,16636.0,48763.0,21220.0,40690.0,24497.0,41717.0,29896.0,43108.0,36306.0,39251.0,43124.0,39122.0,55106.0,39935.0,82971.0,43068.0,129945.0,49850.0,70900.0,30025.0,55387.0,17128.0,44270.0,14351.0,27189.0,11970.0,10141.0,7975.0,1406.0,2478.0,0.0,18.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,성수,143.0,5.0,5481.0,4816.0,8684.0,34987.0,19855.0,71655.0,26828.0,235765.0,22984.0,156678.0,23168.0,106016.0,29165.0,99225.0,40042.0,102534.0,53732.0,107392.0,69461.0,104851.0,90214.0,99590.0,116375.0,94056.0,169408.0,90200.0,259793.0,86459.0,147257.0,50886.0,125517.0,26904.0,104608.0,19393.0,67388.0,14745.0,23675.0,11656.0,3143.0,5763.0,1.0,812.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,건대입구,380.0,11.0,15508.0,1724.0,22764.0,14137.0,53059.0,23673.0,87349.0,56136.0,63497.0,47367.0,43005.0,44835.0,40453.0,47770.0,46409.0,53101.0,50364.0,58799.0,53092.0,59630.0,57101.0,64282.0,66781.0,76455.0,74690.0,99417.0,83341.0,138637.0,63383.0,97344.0,66583.0,66766.0,69393.0,63244.0,66978.0,55129.0,40064.0,32530.0,6218.0,11217.0,7.0,917.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,구의(광진구청),90.0,3.0,13620.0,1306.0,28290.0,12055.0,73108.0,17897.0,114731.0,42216.0,73532.0,26051.0,42888.0,24809.0,35070.0,26039.0,36559.0,28979.0,36861.0,32948.0,35940.0,33972.0,37279.0,41861.0,41404.0,49210.0,42540.0,65099.0,48805.0,100394.0,27946.0,71144.0,23235.0,50436.0,21316.0,46848.0,18584.0,42278.0,8848.0,23918.0,1429.0,7122.0,2.0,91.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,강변(동서울터미널),30.0,1.0,8808.0,1723.0,21889.0,21731.0,62952.0,22209.0,94061.0,39085.0,71368.0,33730.0,58338.0,31865.0,50126.0,31450.0,44938.0,34206.0,42921.0,38226.0,39983.0,42678.0,43392.0,51336.0,47472.0,53940.0,51122.0,66098.0,53980.0,85859.0,36527.0,59728.0,29432.0,44692.0,24613.0,35528.0,15887.0,30778.0,5792.0,16759.0,769.0,4119.0,0.0,38.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,잠실나루,7.0,0.0,3604.0,3006.0,13651.0,17959.0,38392.0,22905.0,45086.0,36770.0,30340.0,22252.0,24993.0,17668.0,24037.0,15997.0,21976.0,19150.0,20683.0,21100.0,21959.0,19290.0,24530.0,20514.0,32121.0,22195.0,37267.0,27914.0,28962.0,39539.0,14939.0,27998.0,11209.0,19017.0,8390.0,18320.0,5785.0,16696.0,2695.0,9140.0,440.0,2537.0,0.0,13.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,잠실(송파구청),133.0,2.0,13473.0,5077.0,51104.0,35955.0,117313.0,77587.0,158426.0,165896.0,118609.0,149415.0,85766.0,121749.0,86639.0,120601.0,96562.0,119600.0,105713.0,124209.0,117242.0,125643.0,141366.0,134852.0,164244.0,148863.0,192147.0,180103.0,223678.0,226719.0,159107.0,152965.0,155431.0,107568.0,140729.0,93479.0,96208.0,83771.0,31952.0,45311.0,4865.0,9129.0,0.0,55.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,잠실새내,61.0,0.0,6004.0,1121.0,19304.0,9053.0,60431.0,17296.0,80416.0,28271.0,52027.0,30409.0,37161.0,24840.0,34412.0,26647.0,35755.0,30473.0,34533.0,36535.0,32481.0,40868.0,36633.0,49029.0,39742.0,53745.0,40597.0,66614.0,40683.0,84947.0,30826.0,57431.0,28670.0,38023.0,30406.0,33920.0,30908.0,29565.0,15866.0,16757.0,2485.0,4649.0,0.0,82.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,종합운동장,8.0,1.0,1792.0,1479.0,5997.0,15254.0,16978.0,19684.0,22114.0,30850.0,16148.0,15155.0,12953.0,14698.0,12389.0,13938.0,15562.0,16684.0,15848.0,19695.0,16837.0,29132.0,20608.0,60634.0,25113.0,103396.0,24995.0,81273.0,26665.0,73700.0,36651.0,24460.0,100623.0,13920.0,86121.0,12703.0,44483.0,10820.0,3977.0,5393.0,400.0,1399.0,2.0,98.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,삼성(무역센터),91.0,2.0,4773.0,5968.0,7290.0,51849.0,14273.0,137248.0,19614.0,303977.0,20491.0,241268.0,25312.0,120747.0,37871.0,89283.0,50228.0,82970.0,65802.0,87972.0,82962.0,75254.0,106776.0,64973.0,140276.0,59944.0,227102.0,62518.0,276736.0,59114.0,150631.0,32687.0,120198.0,19909.0,98431.0,15517.0,60571.0,11898.0,15796.0,6341.0,2036.0,4258.0,1.0,989.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,선릉,160.0,3.0,4349.0,5731.0,12081.0,44840.0,22561.0,126003.0,35390.0,266692.0,36093.0,201622.0,39520.0,96862.0,49320.0,65934.0,59227.0,63873.0,68242.0,71885.0,76558.0,57504.0,102358.0,51826.0,127158.0,51792.0,204372.0,57769.0,275246.0,57501.0,138605.0,37636.0,93088.0,25108.0,83258.0,22220.0,69632.0,18977.0,24583.0,10664.0,3851.0,4498.0,1.0,76.0,0.0,0.0,0.0,0.0,20250703
202506,2호선,역삼,21.0,3.0,3659.0,5832.0,8643.0,43474.0,15628.0,149553.0,25561.0,335710.0,24509.0,275598.0,26126.0,112928.0,33805.0,62783.0,39978.0,57743.0,47855.0,61095.0,57349.0,48592.0,74417.0,42593.0,99423.0,41527.0,210273.0,49254.0,249138.0,53836.0,138104.0,34348.0,81598.0,22967.0,74084.0,20035.0,50213.0,16346.0,18671.0,10401.0,3197.0,2849.0,2.0,17.0,0.0,0.0,0.0,0.0,20250703
