station_name,main_target,feature_list_kakao
서울역,General,
시청,General,
종각,General,
종로3가,General,
종로5가,General,
동대문,General,
신설동,General,
제기동,General,
청량리(서울시립대입구),General,
동묘앞,General,
을지로입구,General,
을지로3가,General,
을지로4가,General,
동대문역사문화공원(DDP),General,
신당,General,
상왕십리,General,
왕십리(성동구청),General,
한양대,General,
뚝섬,General,
성수,General,
건대입구,General,
구의(광진구청),General,
강변(동서울터미널),General,
잠실나루,General,
잠실(송파구청),General,
잠실새내,General,
종합운동장,General,
삼성(무역센터),General,
선릉,General,
역삼,General,
강남,General,
교대(법원.검찰청),General,
서초,General,
방배,General,
사당,General,
낙성대(강감찬),General,
서울대입구(관악구청),General,
봉천,General,
신림,General,
신대방,General,
구로디지털단지,General,
대림(구로구청),General,
신도림,General,
문래,General,
영등포구청,General,
당산,General,
합정,General,
홍대입구,General,
신촌,General,
이대,General,
아현,General,
충정로(경기대입구),General,
용답,General,
신답,General,
도림천,General,
양천구청,General,
신정네거리,General,
용두(동대문구청),General,
지축,General,
구파발,General,
연신내,General,
불광,General,
녹번,General,
홍제,General,
무악재,General,
독립문,General,
경복궁(정부서울청사),General,
안국,General,
충무로,General,
동대입구,General,
약수,General,
금호,General,
옥수,General,
압구정,General,
신사,General,
잠원,General,
고속터미널,General,
남부터미널(예술의전당),General,
양재(서초구청),General,
매봉,General,
도곡,General,
대치,General,
학여울,General,
대청,General,
일원,General,
수서,General,
가락시장,General,
경찰병원,General,
오금,General,
불암산,General,
상계,General,
노원,General,
창동,General,
쌍문,General,
수유(강북구청),General,
미아(서울사이버대학),General,
미아사거리,General,
길음,General,
성신여대입구(돈암),General,
한성대입구(삼선교),General,
혜화,General,
명동,General,
회현(남대문시장),General,
숙대입구(갈월),General,
삼각지(전쟁기념관),General,
신용산,General,
이촌(국립중앙박물관),General,
동작(현충원),General,
총신대입구(이수),General,
남태령,General,
